z_mm,volume_m3,F_b_N,CoB_x_m,CoB_y_m,CoB_z_m
0.0,0.020167621146756107,197.84436344967745,-9.264687152234947e-06,-0.5302406652542434,-0.03315039798197343
10.0,0.013719571593835155,134.58899733552286,3.7568694994169757e-06,-0.5409344345574925,-0.028646483487616687
20.0,0.010352259474090904,101.55566544083179,-1.3950781390909185e-05,-0.5446001421571286,-0.02634687032547613
30.0,0.007440081204580838,72.98719661693802,-2.7285793159963226e-05,-0.547455782897587,-0.024794983559203246
40.0,0.00512809105610723,50.30657326041193,-1.096610400476831e-05,-0.5464212211457647,-0.023845198357536776
50.0,0.0034713580172425983,34.054022149149894,-6.491666789871988e-06,-0.5446305092023501,-0.02289587637469082
60.0,0.0002748319237641748,2.696101172126555,4.5044200064290036e-05,-0.290886074521425,-0.12376493425950498
70.0,0.001077425201956651,10.569541231194748,3.764042939720098e-05,-0.5064197803991857,-0.033188043236751716
80.0,0.00025807904578109005,2.5317554391124935,4.159565044213316e-05,-0.2931674368050859,-0.11178429401241893
90.0,0.00025176873551704596,2.469851295422221,3.855352147004323e-05,-0.2923212824746965,-0.10466071877127679
100.0,0.00024545843180111444,2.4079472159689326,3.535279648505749e-05,-0.2914316297293127,-0.09741258710278537
110.0,0.00023914813122936088,2.34604316736003,3.1982460400296046e-05,-0.29049503108672536,-0.09003004044424986
120.0,0.0002328378413786029,2.2841392239240945,2.8425204159126026e-05,-0.28950767935283445,-0.08250214847137767
130.0,0.00022652753882352927,2.2222351558588223,2.4676589024736117e-05,-0.2884653022869578,-0.07481677091780425
140.0,0.0002202172245028424,2.160330972372884,2.0719703815438316e-05,-0.28736317074901185,-0.0669603684769229
150.0,0.00021390693725352073,2.0984270544570385,1.651648393419312e-05,-0.2861960510069883,-0.05891779674636171
160.0,0.00020759661910577153,2.036522833427619,1.2074661137088757e-05,-0.28495793261340246,-0.050672091197176396
170.0,0.00020050124665073956,1.9669172296437551,-1.8274930160024882e-05,-0.2823308085989678,-0.04234261389313214
180.0,0.00019090202698873426,1.8727488847594833,-2.1236381638554544e-05,-0.2773312513484718,-0.03407720189498999
