z_mm,volume_m3,F_b_N,CoB_x_m,CoB_y_m,CoB_z_m
0.0,0.020167621146756107,197.84436344967745,-9.264687152234947e-06,-0.5302406652542434,-0.03315039798197343
0.5,0.017065713791592874,167.4146522955261,3.0576141694187928e-06,-0.5405289895522792,-0.03160024274471461
1.0,0.016890275364086393,165.6936013216875,3.0453872700118194e-06,-0.5405608507203643,-0.0314290006937633
1.5,0.016714642803201077,163.97064589940257,3.061039439291964e-06,-0.5405860359638734,-0.03125944497661018
2.0,0.016536362050713075,162.22171171749525,3.0236696286252152e-06,-0.5405694806481907,-0.031089272590695136
2.5,0.016359380930377233,160.48552692700068,4.6612762409218335e-06,-0.5405705622668575,-0.030921793649055
3.0,0.01618383056364583,158.7633778293656,2.0360271411066937e-06,-0.5406136864825822,-0.030756730226649685
3.5,0.016006016634587193,157.01902318530037,2.6816993359054087e-06,-0.5406043716492946,-0.030591769285152705
4.0,0.01582896134879974,155.28211083172548,2.950528274922898e-06,-0.5406091221689363,-0.030429197650521603
4.5,0.015653087959153454,153.5567928792954,3.051620825876783e-06,-0.5406307591796665,-0.030270011081919047
5.0,0.015477283702178588,151.83215311837193,3.189045086049101e-06,-0.5406522364901996,-0.030112589531307195
5.5,0.015301303929556725,150.1057915489515,1.8269843421169524e-06,-0.540674459425624,-0.029957237061978014
6.0,0.015124704008978626,148.37334632808032,3.2795250282629375e-06,-0.5406941225438955,-0.02980259787470682
6.5,0.014948694526709255,146.64669330701778,1.2693491888033438e-06,-0.5407055566954525,-0.02965134303589351
7.0,0.014772608292564169,144.9192873500545,6.203459522188564e-06,-0.54072512532592,-0.02950046974213752
7.5,0.014597157537467927,143.19811544256038,3.236096328114559e-06,-0.5407715958424252,-0.029353267209732237
8.0,0.014420954750334485,141.4695661007813,3.836852723680273e-06,-0.5407901146082661,-0.029206419934263934
8.5,0.014245906597525034,139.7523437217206,4.136982409771192e-06,-0.5408238033590214,-0.02906407868718318
9.0,0.014069642682141083,138.02319471180402,3.0033816753008822e-06,-0.5408344824783085,-0.028922159547737986
9.5,0.013894697283764069,136.30698035372552,2.6538581831468223e-06,-0.5408875870619408,-0.028784061361782076
10.0,0.013719571593835155,134.58899733552286,3.7568694994169757e-06,-0.5409344345574925,-0.028646483487616687
10.5,0.013540038275689044,132.82777548450952,-1.3715177950924335e-06,-0.5409358571766361,-0.028507648519177493
11.0,0.013370743106688064,131.1669898766099,1.2412069190576267e-06,-0.5410587289341444,-0.028380696918552033
11.5,0.013197149752985565,129.4640390767884,1.3003807341160321e-06,-0.5411467141593244,-0.028250626135406263
12.0,0.013023895353269045,127.76441341556934,-7.771313860823306e-07,-0.5412471770378798,-0.028122594242446456
12.5,0.012852201710858152,126.08009878351848,6.483877275900875e-07,-0.5413820718637684,-0.027998335450425363
13.0,0.012676834891374918,124.35975028438796,6.675447379620968e-07,-0.54147685860761,-0.027870718929741186
13.5,0.012510279216527035,122.72583911413022,3.6982050843332323e-06,-0.541696602056311,-0.027754365723792192
14.0,0.012338941519939124,121.0450163106028,1.484479742708002e-06,-0.5418799230569944,-0.027634164835387363
14.5,0.012167165045833895,119.35988909963051,2.4530817879325993e-06,-0.5420628291163816,-0.02751542859853791
15.0,0.011996537378479128,117.68603168288026,2.0522850142677144e-06,-0.5422658411494031,-0.02740041589174384
15.5,0.0,0.0,0.0,0.0,0.0
16.0,0.011661678330480098,114.40106442200977,4.283383443530952e-06,-0.5427817531300926,-0.02718087632986738
16.5,0.011492913473538771,112.74548117541535,3.4153282487383935e-06,-0.5430080468616526,-0.027070385076506085
17.0,0.011327771877539876,111.12544211866619,1.060589570334037e-06,-0.5432731220397656,-0.026964569024816764
17.5,0.01116292958902636,109.50833926834858,-9.493303708470248e-08,-0.5435269238902928,-0.026859630213690408
18.0,0.010995271368196651,107.86361212200914,-1.370736960109508e-05,-0.543649222127103,-0.026746753416491853
18.5,0.010832230410164222,106.26418032371102,-1.3054105909970583e-05,-0.5439188991128532,-0.026643987304734315
19.0,0.010672057050016453,104.69287966066142,-8.718366222650738e-06,-0.5441671680992691,-0.026547057719515686
19.5,0.010514098415054346,103.14330545168315,-3.7056273346705523e-06,-0.5444016278784941,-0.02645175541800941
20.0,0.010352259474090904,101.55566544083179,-1.3950781390909185e-05,-0.5446001421571286,-0.02634687032547613
20.5,0.0101965199957429,100.02786115823785,7.051813721862164e-07,-0.5448255177512716,-0.02625799048025612
21.0,0.010037685569729372,98.46969543904515,-1.7599290692470293e-06,-0.5450820871176169,-0.026158778034378747
21.5,0.009884587712941617,96.96780546395726,-4.795288837363432e-06,-0.5452022207040369,-0.02606913672097984
22.0,0.009727122506457547,95.42307178834855,-1.3802588637374145e-05,-0.5453607319594551,-0.025970009222105513
22.5,0.009578449360245116,93.9645882240046,-9.916781362476241e-06,-0.5455108699143039,-0.02588863908842823
23.0,0.00942695227825426,92.4784018496743,-1.1718410555856166e-05,-0.5455658687457818,-0.025799092775388423
23.5,0.009273881629942622,90.97677878973712,-2.3958118691356195e-05,-0.54590353937051,-0.025709920271720896
24.0,0.009123610310539078,89.50261714638836,-7.2886741214960765e-06,-0.5459869732279918,-0.02562533157129446
24.5,0.0,0.0,0.0,0.0,0.0
25.0,0.008833378756484813,86.65544560111603,-1.5420248028711205e-05,-0.546332583330497,-0.02546999774977617
25.5,0.008686120089544383,85.2108380784304,-9.013764836340596e-06,-0.5464081530671295,-0.025388562735317602
26.0,0.008544776375672754,83.82425624534972,-2.6839679862341437e-05,-0.5466072388537289,-0.025315619005356584
26.5,0.008398830582256496,82.39252801193622,1.3617082478170657e-06,-0.5466492244772271,-0.025237959322397006
27.0,0.008257340418654679,81.0045095070024,-3.9181579278335266e-06,-0.5467787672837897,-0.025167121028371237
27.5,0.008118289599924545,79.64042097525979,-8.81391485281245e-06,-0.5468556571130531,-0.025098041837192088
28.0,0.00797911155282993,78.27508433326162,-8.539721608670744e-06,-0.5469984931371593,-0.025030721745275056
28.5,0.007836176994680586,76.87289631781655,1.719867200777768e-05,-0.5468681306598132,-0.024958446210870556
29.0,0.007702586437869753,75.56237295550227,-1.0440780243862856e-05,-0.5470274881026832,-0.024901652033182158
29.5,0.007572620844210105,74.28741048170113,-3.447326001731281e-05,-0.547312861459977,-0.024847931238456213
30.0,0.007440081204580838,72.98719661693802,-2.7285793159963226e-05,-0.547455782897587,-0.024794983559203246
30.5,0.007302696911561188,71.63945670241526,-5.153086931811374e-06,-0.547182759570761,-0.024724286273470744
31.0,0.007172128959604832,70.3585850937234,-6.376945716574018e-06,-0.547514716005182,-0.02467577603787202
31.5,0.007040254521185851,69.0648968528332,1.4446570658488224e-05,-0.547430573098434,-0.024617389135590164
32.0,0.0069164453857744005,67.85032923444687,-2.583983323348297e-05,-0.5473230482567721,-0.024574144108859778
32.5,0.006786471702992977,66.5752874063611,-1.8054322535369106e-06,-0.5473666745913138,-0.024524682346121342
33.0,0.0066608536344701695,65.34297415415236,9.288758113755534e-06,-0.5474402998976713,-0.024479230108852272
33.5,0.006539518312164888,64.15267464233756,6.351932731782601e-06,-0.5474879886197973,-0.02443155268700498
34.0,0.006428690703676821,63.06545580306961,-8.192179100902009e-05,-0.547302543925465,-0.02441293698344104
34.5,0.006304948255890181,61.851542390282674,-1.959190924110741e-05,-0.5473084501223018,-0.024350092044538075
35.0,0.006174441187969427,60.57126805398008,-8.67991721281384e-06,-0.5471084148700521,-0.024310737849382345
35.5,0.006066721966657698,59.51454249291202,-2.4288741648523816e-05,-0.5471729201924174,-0.024272135453728565
36.0,0.005951892535573579,58.38806577397681,-2.6118823926833918e-05,-0.5471165792081542,-0.024244004859779206
36.5,0.0058438199635864,57.32787384278259,-1.7897582574041913e-05,-0.547152168992736,-0.024213803013378006
37.0,0.005722629847184172,56.138998800876735,0.00010211066098076492,-0.5469673901238346,-0.02412190016701866
37.5,0.005618768511660066,55.120119099385256,4.195549789274767e-05,-0.5470166834244826,-0.024102992283137944
38.0,0.005519704234494764,54.14829854039364,-1.2257421371338502e-05,-0.5467617734398624,-0.02406299081082573
38.5,0.005419307563757591,53.16340720046197,-1.0744408005593997e-05,-0.546686344008892,-0.02401736276457207
39.0,0.005317433243440006,52.16402011814646,-1.6058343930264622e-06,-0.5465493930902529,-0.02395838608014429
39.5,0.005222022047190643,51.2280362829402,5.428084296741422e-06,-0.5465068062891526,-0.02390359378112779
40.0,0.00512809105610723,50.30657326041193,-1.096610400476831e-05,-0.5464212211457647,-0.023845198357536776
40.5,0.0050313091863427,49.357143118021895,4.676624993888149e-06,-0.5462772935555195,-0.02377823579720766
41.0,0.004937595931635741,48.43781608934662,1.457886960432214e-06,-0.5461994343871275,-0.02371695911314006
41.5,0.004840879478645707,47.48902768551438,-1.894826417872472e-05,-0.5460579193525431,-0.023690180195891992
42.0,0.0002502371393210061,2.45482633673907,-8.864812888025918e-05,-0.6207297023266223,-0.05714520558303835
42.5,0.004668760750419413,45.80054296161445,-8.568158723598585e-07,-0.5458932788833806,-0.023542691573868388
43.0,0.004586160632079949,44.9902358007043,-1.2445135614262553e-05,-0.5458039007467443,-0.023480256624743883
43.5,0.004495180902559466,44.09772465410836,-8.886196159384378e-07,-0.5457879429915453,-0.023436044417121635
44.0,0.004412974691904366,43.29128172758183,-3.742288209405495e-06,-0.545653970933333,-0.02337101167120365
44.5,0.004330373505600157,42.48096408993754,4.9548027088878325e-06,-0.545612914378085,-0.02331831587008035
45.0,0.004248684982781398,41.67959968108551,-2.2773101316031537e-05,-0.5455046092925288,-0.023269690073184607
45.5,0.0041655534104476305,40.864078956491255,-3.892520603154894e-06,-0.5454619396504358,-0.02320995111966071
46.0,0.004085945660410355,40.08312692862559,1.025135341833246e-05,-0.5453534480987589,-0.02316572302163582
46.5,0.00400546471727072,39.293608876425765,6.481793112019112e-06,-0.5452916360519318,-0.023116754612130273
47.0,0.003927094450880462,38.524796563137336,1.66186376409597e-07,-0.5451988159350175,-0.023065067528121933
47.5,0.0038471451599106717,37.74049401872369,5.624921757239823e-07,-0.5451286110933142,-0.023023277121240977
48.0,0.0037715435276791122,36.998842006532094,2.0086762582489565e-06,-0.5449819456596292,-0.02298356269341086
48.5,0.0036950255734883707,36.24820087592092,1.8915840167848462e-06,-0.5448630540807778,-0.022955386384895922
49.0,0.003618832299120886,35.50074485437589,4.18518576288662e-06,-0.5447660207310671,-0.022925148363064394
49.5,0.0035445256312468688,34.77179644253178,2.5255257556691837e-06,-0.5445904544505682,-0.022908109137517226
50.0,0.0034713580172425983,34.054022149149894,-6.491666789871988e-06,-0.5446305092023501,-0.02289587637469082
50.5,0.003398180024199631,33.33614603739838,-8.574055146543468e-06,-0.5444951190843901,-0.022887807658531066
51.0,0.00332670895122802,32.635014811546874,8.79920165170914e-06,-0.5441437575386336,-0.022882485351193613
51.5,0.0032526694532636056,31.908687336515975,2.7135119293605264e-06,-0.5440936528696946,-0.02286983901400935
52.0,0.003178705617452638,31.183102107210384,9.517827838313717e-06,-0.5440194335790407,-0.022880193676976614
52.5,0.0031105555941987983,30.514550379090213,2.7943865470288786e-06,-0.5437656946770836,-0.02289721800653032
53.0,0.0030774783202332477,30.19006232148816,-0.00021888669779142689,-0.5436892277067927,-0.023161710497287137
53.5,0.0029661939744988057,29.098362889833286,9.454300253157389e-06,-0.5438088267668214,-0.022978397147904138
54.0,0.00290336025066474,28.481964059021102,1.3108633357412522e-06,-0.5432931251185905,-0.022984135359050334
54.5,0.0028417127414780835,27.8772019939,-2.0509919197043947e-05,-0.5426905758597409,-0.023023556167195744
55.0,0.0027715014954702833,27.18842967056348,-1.369435003688865e-05,-0.5432438150986008,-0.023093440606556808
55.5,0.0027051034637129595,26.537064979024134,-1.1096961604536363e-05,-0.5430371073867173,-0.02315014283134015
56.0,0.0026459482058991467,25.956751899870632,-4.4104340845904415e-05,-0.5434909659154368,-0.0232487954021779
56.5,0.002579112491241465,25.301093539078774,-6.452109804208766e-05,-0.5424111677792623,-0.02337002046934854
57.0,0.0025077933821602695,24.601453078992247,3.9913982233140184e-06,-0.5421185772683167,-0.023376808895973735
57.5,0.002445027569320009,23.985720455029288,1.732051769859271e-06,-0.541750319087976,-0.023479578880443382
58.0,0.0002852310289786863,2.7981163942809126,4.3917835148889667e-05,-0.28376004074332056,-0.12115650210838315
58.5,0.0002826719630562145,2.7730119575814642,5.753731727817585e-06,-0.2856890241533079,-0.12178102781225578
59.0,0.00027993064718944777,2.7461196489284827,4.45309422523635e-05,-0.287351319230236,-0.12247045709481227
59.5,0.000277312784291015,2.720438413894857,4.5349696884643385e-05,-0.2891296601361378,-0.12313383627155189
60.0,0.0002748319237641748,2.696101172126555,4.5044200064290036e-05,-0.290886074521425,-0.12376493425950498
60.5,0.0020796643022586493,20.40150680515735,1.0621979801119798e-05,-0.538558813321177,-0.024324567190561284
61.0,0.0002704058482842863,2.6526813716688484,4.6383224057514736e-05,-0.2941361071082274,-0.12483431399391715
61.5,0.000269891819977337,2.6476387539776756,4.6295284639916085e-05,-0.2943004800864446,-0.12458255491330958
62.0,0.00026944193563745655,2.643225388603449,4.617988633094175e-05,-0.29439997906665866,-0.12430135300579938
