NACA,thickness_percent,chord_m,velocity_ms,Re,CD,CL,valid
0024,24,0.035,4.0,140000.00000000003,0.01865,-0.0,1
0024,24,0.035,3.5,122500.00000000001,0.02052,-0.0,1
0024,24,0.035,3.0,105000.00000000001,0.02366,-0.0,1
0024,24,0.035,2.5,87500.00000000001,0.02895,0.0,1
0024,24,0.035,2.0,70000.00000000001,0.03858,0.0,1
0026,26,0.036,4.0,144000.0,0.01961,0.0,1
0026,26,0.036,3.5,126000.0,0.02175,-0.0,1
0026,26,0.036,3.0,107999.99999999999,0.02465,-0.0,1
0026,26,0.036,2.5,90000.0,0.03031,-0.0,1
0026,26,0.036,2.0,72000.0,0.04154,-0.0,1
0027,27,0.0365,4.0,146000.0,0.02021,0.0,1
0027,27,0.0365,3.5,127750.00000000001,0.02225,0.0,1
0027,27,0.0365,3.0,109499.99999999999,0.02537,-0.0,1
0027,27,0.0365,2.5,91250.0,0.03129,0.0,1
0027,27,0.0365,2.0,73000.0,0.04194,0.0,1
0028,28,0.0372,4.0,148800.0,0.02069,-0.0,1
0028,28,0.0372,3.5,130199.99999999999,0.02267,-0.0,1
0028,28,0.0372,3.0,111600.0,0.02618,-0.0,1
0028,28,0.0372,2.5,93000.0,0.03164,-0.0,1
0028,28,0.0372,2.0,74400.0,0.044,0.0736,0
0029,29,0.038,4.0,152000.0,0.02111,-0.0,1
0029,29,0.038,3.5,133000.0,0.02317,-0.0,1
0029,29,0.038,3.0,114000.0,0.02669,0.0,1
0029,29,0.038,2.5,95000.0,0.03185,0.0,1
0029,29,0.038,2.0,76000.0,0.04602,0.0003,1
0031,31,0.039,4.0,156000.0,0.02221,0.0,1
0031,31,0.039,3.5,136500.00000000003,0.02458,0.0,1
0031,31,0.039,3.0,117000.0,0.02804,0.0,1
0031,31,0.039,2.5,97500.00000000001,0.03391,-0.0,1
0031,31,0.039,2.0,78000.0,0.05227,0.3118,0
0032,32,0.0402,4.0,160800.0,0.02249,0.0,1
0032,32,0.0402,3.5,140700.0,0.02496,0.0,1
0032,32,0.0402,3.0,120600.0,0.0282,0.0,1
0032,32,0.0402,2.5,100500.00000000001,0.03489,0.0,1
0032,32,0.0402,2.0,80400.0,0.05412,0.3902,0
0034,34,0.0416,4.0,166400.0,0.02351,0.0,1
0034,34,0.0416,3.5,145600.0,0.02616,0.0,1
0034,34,0.0416,3.0,124800.0,0.02941,-0.0,1
0034,34,0.0416,2.5,104000.0,0.037,-0.0,1
0034,34,0.0416,2.0,83200.0,0.05028,-0.0005,1
0036,36,0.0432,4.0,172800.00000000003,0.0245,-0.0,1
0036,36,0.0432,3.5,151200.0,0.02731,0.0,1
0036,36,0.0432,3.0,129600.0,0.03064,0.0,1
0036,36,0.0432,2.5,108000.00000000001,0.03885,0.0,1
0036,36,0.0432,2.0,86400.00000000001,0.05189,0.0041,1
0038,38,0.0449,4.0,179600.00000000003,0.02554,-0.0,1
0038,38,0.0449,3.5,157150.00000000003,0.0285,0.0,1
0038,38,0.0449,3.0,134700.00000000003,0.03194,0.0,1
0038,38,0.0449,2.5,112250.00000000001,0.04066,0.0001,1
0038,38,0.0449,2.0,89800.00000000001,0.05345,-0.2389,0
0040,40,0.0465,4.0,186000.0,0.02665,0.0,1
0040,40,0.0465,3.5,162750.0,0.02978,-0.0,1
0040,40,0.0465,3.0,139500.00000000003,0.03361,-0.0,1
0040,40,0.0465,2.5,116250.0,0.05604,0.5545,0
0040,40,0.0465,2.0,93000.0,0.08517,0.8811,0
0041,41,0.0478,4.0,191200.00000000003,0.02704,-0.0,1
0041,41,0.0478,3.5,167300.0,0.03015,-0.0,1
0041,41,0.0478,3.0,143400.0,0.03441,0.0,1
0041,41,0.0478,2.5,119500.00000000001,0.04931,-0.4294,0
0041,41,0.0478,2.0,95600.00000000001,0.07991,-0.8077,0
0042,42,0.0488,4.0,195200.00000000003,0.0276,-0.0,1
0042,42,0.0488,3.5,170800.00000000003,0.03068,0.0,1
0042,42,0.0488,3.0,146400.0,0.03537,0.0,1
0042,42,0.0488,2.5,122000.00000000001,0.04402,0.2437,0
0042,42,0.0488,2.0,97600.00000000001,0.08351,-0.8244,0
0042,42,0.0494,4.0,197600.0,0.02744,-0.0,1
0042,42,0.0494,3.5,172900.0,0.03034,-0.0,1
0042,42,0.0494,3.0,148200.0,0.03501,0.0,1
0042,42,0.0494,2.5,123500.0,0.0421,-0.003,1
0042,42,0.0494,2.0,98800.0,0.08164,-0.8031,0
0043,43,0.05,4.0,200000.00000000003,0.02823,0.0,1
0043,43,0.05,3.5,175000.00000000003,0.03111,0.0,1
0043,43,0.05,3.0,150000.00000000003,0.03622,-0.0,1
0043,43,0.05,2.5,125000.0,0.04404,-0.2119,0
0043,43,0.05,2.0,100000.00000000001,0.08562,-0.8086,0
